Generation	Ne	Frequency	WT	HET	HOM	Replicate
58010	34039	0.279973	17674	13670	2695	31
58011	34039	0.280678	17667	13636	2736	31
58012	34039	0.27871	17763	13578	2698	31
58013	34039	0.280061	17577	13858	2604	31
58014	34039	0.281133	17551	13837	2651	31
58015	34039	0.28009	17653	13704	2682	31
58016	34039	0.283219	17502	13793	2744	31
58000	34039	0.160434	23992	9172	875	32
58001	34039	0.160066	23990	9201	848	32
58002	17317	0.181671	11582	5178	557	32
58003	17589	0.209591	10976	5853	760	32
58004	17665	0.242598	10139	6481	1045	32
58005	17965	0.286335	9117	7408	1440	32
58006	34039	0.284527	17370	13968	2701	32
58007	34039	0.283983	17476	13793	2770	32
58008	34039	0.282147	17511	13848	2680	32
58009	34039	0.280634	17644	13685	2710	32
58010	34039	0.281031	17593	13760	2686	32
58011	34039	0.279635	17709	13623	2707	32
58012	34039	0.279283	17650	13765	2624	32
58013	34039	0.279665	17612	13815	2612	32
58014	34039	0.2794	17628	13801	2610	32
58015	34039	0.277564	17707	13768	2564	32
58016	34039	0.278945	17776	13536	2727	32
58000	34039	0.160434	23992	9172	875	33
58001	34039	0.160889	23952	9221	866	33
58002	17317	0.181758	11600	5139	578	33
58003	17513	0.205504	11053	5722	738	33
58004	17795	0.237679	10336	6459	1000	33
58005	18186	0.277164	9502	7287	1397	33
58006	34039	0.272247	18062	13420	2557	33
58007	34039	0.272687	18016	13482	2541	33
58008	34039	0.273701	17921	13603	2515	33
58009	34039	0.271923	17977	13612	2450	33
58010	34039	0.27041	18125	13419	2495	33
58011	34039	0.267855	18196	13451	2392	33
58012	34039	0.268325	18269	13273	2497	33
58013	34039	0.267884	18291	13259	2489	33
58014	34039	0.266444	18281	13377	2381	33
58015	34039	0.266753	18268	13382	2389	33
58016	34039	0.263771	18400	13321	2318	33
58000	34039	0.160434	23992	9172	875	34
58001	34039	0.159582	24020	9174	845	34
58002	17395	0.180167	11709	5104	582	34
58003	17464	0.202531	11130	5594	740	34
58004	17770	0.231739	10487	6330	953	34
58005	17999	0.268432	9604	7127	1268	34
58006	34039	0.267443	18266	13339	2434	34
58007	34039	0.26878	18292	13196	2551	34
58008	34039	0.26784	18248	13348	2443	34
58009	34039	0.267252	18234	13416	2389	34
58010	34039	0.26737	18246	13384	2409	34
58011	34039	0.265343	18344	13326	2369	34
58012	34039	0.266547	18319	13294	2426	34
58013	34039	0.269632	18131	13460	2448	34
58014	34039	0.268236	18179	13459	2401	34
58015	34039	0.268501	18202	13395	2442	34
58016	34039	0.269573	18119	13488	2432	34
58000	34039	0.160434	23992	9172	875	35
58001	34039	0.15801	24131	9059	849	35
58002	17458	0.176452	11832	5091	535	35
58003	17577	0.207032	11075	5726	776	35
58004	17709	0.242589	10162	6502	1045	35
58005	18046	0.278926	9362	7301	1383	35
58006	34039	0.278857	17724	13646	2669	35
58007	34039	0.279738	17653	13728	2658	35
58008	34039	0.279092	17723	13632	2684	35
58009	34039	0.278533	17752	13612	2675	35
58010	34039	0.276918	17842	13542	2655	35
58011	34039	0.276771	17734	13768	2537	35
58012	34039	0.276124	17898	13484	2657	35
58013	34039	0.274626	17908	13566	2565	35
58014	34039	0.274171	17946	13521	2572	35
58015	34039	0.275522	17861	13599	2579	35
58016	34039	0.271218	18071	13472	2496	35
58000	34039	0.160434	23992	9172	875	36
58001	34039	0.159347	24004	9222	813	36
58002	17466	0.17743	11809	5116	541	36
58003	17580	0.199886	11264	5604	712	36
58004	17748	0.232336	10439	6371	938	36
58005	18112	0.272499	9609	7135	1368	36
58006	34039	0.270131	18120	13448	2471	36
58007	34039	0.269265	18057	13633	2349	36
58008	34039	0.271277	18096	13418	2525	36
58009	34039	0.270587	18029	13599	2411	36
58010	34039	0.268545	18182	13432	2425	36
58011	34039	0.268795	18222	13335	2482	36
58012	34039	0.270322	18132	13411	2496	36
58013	34039	0.271732	17966	13647	2426	36
58014	34039	0.269896	18108	13488	2443	36
58015	34039	0.269544	18194	13340	2505	36
58016	34039	0.269705	18179	13359	2501	36
58000	34039	0.160434	23992	9172	875	37
58001	34039	0.159552	24065	9086	888	37
58002	17518	0.181328	11742	5199	577	37
58003	17627	0.207239	11105	5738	784	37
58004	17719	0.242536	10150	6543	1026	37
58005	17892	0.283535	9153	7332	1407	37
58006	34039	0.281236	17674	13584	2781	37
58007	34039	0.28128	17560	13809	2670	37
58008	34039	0.282059	17529	13818	2692	37
58009	34039	0.28482	17396	13896	2747	37
58010	34039	0.280737	17684	13598	2757	37
58011	34039	0.282823	17490	13844	2705	37
58012	34039	0.283704	17400	13964	2675	37
58013	34039	0.284189	17423	13885	2731	37
58014	34039	0.286598	17305	13957	2777	37
58015	34039	0.287112	17302	13928	2809	37
58016	34039	0.287053	17305	13926	2808	37
58000	34039	0.160434	23992	9172	875	38
58001	34039	0.160301	24022	9121	896	38
58002	17465	0.181134	11718	5167	580	38
58003	17712	0.207938	11041	5976	695	38
58004	17786	0.236591	10346	6464	976	38
58005	17947	0.277205	9391	7162	1394	38
58006	34039	0.277388	17715	13764	2560	38
